episode,reward,success,epsilon
812,-20.799999999999997,0.0,0.05
813,-20.799999999999997,0.0,0.05
814,-22.6,0.0,0.05
815,-19.9,0.0,0.05
816,-18.099999999999998,0.0,0.05
817,-21.7,0.0,0.05
818,-19.9,0.0,0.05
819,-19.9,0.0,0.05
820,-21.7,0.0,0.05
821,-20.799999999999997,0.0,0.05
822,-15.4,0.0,0.05
823,-20.799999999999997,0.0,0.05
824,-19.0,0.0,0.05
825,-21.7,0.0,0.05
826,-19.0,0.0,0.05
827,-18.099999999999998,0.0,0.05
828,8.8,1.0,0.05
829,-18.1,0.0,0.05
830,-20.799999999999997,0.0,0.05
831,-20.799999999999997,0.0,0.05
832,-17.200000000000003,0.0,0.05
833,-21.7,0.0,0.05
834,-20.799999999999997,0.0,0.05
835,-18.099999999999998,0.0,0.05
836,-19.0,0.0,0.05
837,-19.0,0.0,0.05
838,-19.9,0.0,0.05
839,-19.0,0.0,0.05
840,-21.7,0.0,0.05
841,-19.9,0.0,0.05
842,-22.6,0.0,0.05
843,-19.9,0.0,0.05
844,-18.099999999999998,0.0,0.05
845,-22.6,0.0,0.05
846,4.8999999999999995,1.0,0.05
847,-19.0,0.0,0.05
848,-20.799999999999997,0.0,0.05
849,-19.0,0.0,0.05
850,-22.6,0.0,0.05
851,-21.7,0.0,0.05
852,-19.9,0.0,0.05
853,-21.7,0.0,0.05
854,-19.9,0.0,0.05
